name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,mood,uri,duration_ms
Before You Go,Divinely Uninspired To A Hellish Extent (Extended Edition),Lewis Capaldi,2gMXnyrvIjhVBUZwvLZDMP,2019-11-22,85.0,215106.0,0.459,0.604,0.575,0.0,0.0885,0.183,-4.8580000000000005,0.0573,111.881,3.0,4.0,sad,,
Bennie And The Jets - Remastered 2014,Goodbye Yellow Brick Road (40th Anniversary Celebration/ Super Deluxe Edition),Elton John,3iJxloILmOu2NIRZ0OGyui,1973-10-05,0.0,322548.0,0.6659999999999999,0.251,0.6679999999999999,5.77e-06,0.499,0.765,-7.961,0.0523,132.666,0.0,4.0,happy,,
Better Than Today,Better Than Today,Rhys Lewis,6MLHg35rlksBc5OBcdZvJi,2019-01-04,60.0,230353.0,0.387,0.736,0.234,0.0,0.084,0.408,-8.861,0.0373,78.65,0.0,4.0,sad,,
Better Together,In Between Dreams,Jack Johnson,4VywXu6umkIQ2OS0m1I79y,2005-01-01,72.0,207680.0,0.868,0.308,0.347,2e-05,0.11,0.659,-9.529,0.0536,110.059,5.0,4.0,happy,,
Betty,Betty,Wilson Trouvé,0yBM8cOHjb6iiMI2eM8pIc,2020-05-29,32.0,161750.0,0.171,0.89,0.185,0.94,0.101,0.264,-19.651,0.0348,142.694,9.0,4.0,calm,,
Bird,Writing of Blues and Yellows (Deluxe Version),Billie Marten,6DzvC1VHpyTFfLBbAYBa7W,2016-09-23,55.0,220640.0,0.235,0.988,0.187,0.00197,0.106,0.118,-12.754,0.0347,85.962,6.0,4.0,sad,,
Bison on the Plains,Bison on the Plains,Grandaddy,0e0hVla9NkILk2JWOwVCMW,2018-11-19,32.0,308800.0,0.476,0.285,0.522,0.0127,0.193,0.0973,-8.158999999999999,0.0281,133.874,9.0,4.0,sad,,
Black Car,Black Car,Beach House,7ESnexsnylx85YfT6ZiSun,2018-05-02,0.0,251160.0,0.407,0.344,0.5489999999999999,0.901,0.111,0.32,-10.244000000000002,0.0293,77.473,9.0,4.0,sad,,
Bloodbuzz Ohio,Bloodbuzz Ohio,SOAK,2pfkaHd8arhESSxyJAou6g,2019-11-25,46.0,279967.0,0.441,0.715,0.268,1.49e-06,0.11,0.057,-8.173,0.0308,140.07299999999998,6.0,4.0,sad,,
Bloom,Bloom,Hilder Sky,5DP6ow4t5Mmfge0fMRhSJD,2019-05-30,52.0,121069.0,0.249,0.945,0.129,0.8390000000000001,0.17,0.253,-18.167,0.0324,70.59,4.0,5.0,calm,,
